Material_ID,Formula,Space_Group,Crystal_System,a,b,c,alpha,beta,gamma,Volume,Density,Num_Sites,Elements,Coordination
mp-567437,Pd4 Se32 Cl8,,Ortorrómbico,9.09481017,9.93363318,14.04636062,90.0,90.0,90.0,1269.0115403949321,4.234432949514753,44,"Cl, Pd, Se",N/A
mp-1206699,Si4 P4 Os1,,Triclínico,4.959554074871043,5.632268086868615,6.185601587315336,85.64263871129529,68.34546634910502,70.8598434804896,151.51440210788166,4.673913403339381,9,"Os, P, Si",N/A
mp-20782,Li2 In2 Te4,,Triclínico,6.486789505803771,6.486789937863914,7.812293968818259,114.52975253288653,114.5297391695436,89.99999445376181,266.1031655628087,4.7046050396064825,8,"In, Li, Te",N/A
mp-21365,In4 Sb4 S12,,Ortorrómbico,3.8395774,9.40747945,13.5820799,90.0,90.0,90.0,490.59485125450334,4.505408617059087,20,"In, S, Sb",N/A
mp-1541909,Cs2 Te2 Au2,,Ortorrómbico,5.570999,7.826381,6.272051,90.0,90.0,90.0,273.4661949036073,5.55571531545244,6,"Au, Cs, Te",N/A
mp-1229160,Cs16 Re24 S54,,Triclínico,17.850067,10.367642,13.939712098586721,79.68354994858474,90.0,90.0,2538.0216654005912,5.448042969497342,94,"Cs, Re, S",N/A
mp-541291,Na12 Mo4 N12,,Triclínico,8.729337598060663,8.729337598060663,6.328103807478632,69.2855847720481,69.2855847720481,77.14152636120528,419.2559270948067,3.2783256623975996,28,"Mo, N, Na",N/A
mp-15046,Sb8 P12 Se36,,Triclínico,7.603735501748943,9.595387915274856,23.429828857581125,66.33443671815384,89.98463377960964,89.99723982493326,1565.7001726232763,4.442023866740288,56,"P, Sb, Se",N/A
mp-29531,Cs4 Bi12 S20,,Ortorrómbico,4.08716899,12.22869193,21.30907612,90.0,90.0,90.0,1065.0431895763147,5.7386629689654205,36,"Bi, Cs, S",N/A
mp-29403,Ga1 Cu1 I4,,Triclínico,6.369987331596716,6.369987546209573,7.199582774921159,116.25621990445492,116.25620727347233,89.99999462263702,227.90122774330146,4.669644448765034,6,"Cu, Ga, I",N/A
mp-1198419,K8 Cd12 Se16,,Ortorrómbico,6.90899886,10.70660542,14.40546863,90.0,90.0,90.0,1065.6002399202484,4.558188691115089,36,"Cd, K, Se",N/A
mp-1223443,K1 Bi1 S2,,Triclínico,7.767486797417208,7.767486797417208,7.767486607349846,30.80396643655359,30.80396643655359,30.803955674033556,108.99482554424745,4.7565078563868175,4,"Bi, K, S",N/A
mp-1212726,Ga12 Te12 Cl4,,Ortorrómbico,4.11480966,10.96321157,19.2080309,90.0,90.0,90.0,866.5036405361326,4.809483514946544,28,"Cl, Ga, Te",N/A
mp-4043,Nb1 Cu3 Se4,,Cúbico,5.66526997,5.66526997,5.66526997,90.0,90.0,90.0,181.82844767762958,5.473847425981426,8,"Cu, Nb, Se",N/A
mp-652494,Cs8 Re12 S26,,Triclínico,10.00711252662131,10.00711252662131,13.79824177523807,84.74228369003603,84.74228369003603,119.35139039245558,1184.4045987953805,5.792260826276227,46,"Cs, Re, S",N/A
