Material_ID,Formula,Band_Gap_eV,Formation_Energy,Density,Score_ML,Num_Elements,Has_Structure,Structure_Type
mp-567437,Pd4 Se32 Cl8,1.3609,-0.20242243954545103,4.234432943598672,1.0085,3,True,REAL
mp-1206699,Si4 P4 Os1,1.4341,-0.378044507989418,4.6739133968092865,1.0059,3,True,REAL
mp-20782,Li2 In2 Te4,1.3847,-0.8370955545833321,4.704605033033507,1.0049,3,True,REAL
mp-21365,In4 Sb4 S12,1.476099999999999,-0.522175905687501,4.505408610764415,1.0037,3,True,REAL
mp-1541909,Cs2 Te2 Au2,1.416,-0.710220707107279,5.555715307690348,1.0036,3,True,REAL
mp-1229160,Cs16 Re24 S54,1.429799999999999,-1.048260928398753,5.448042961885681,1.0029,3,True,REAL
mp-541291,Na12 Mo4 N12,1.4075,-0.531690018091132,3.278325657817331,1.0025,3,True,REAL
mp-15046,Sb8 P12 Se36,1.5032,-0.182319531106504,4.442023860534176,1.0021,3,True,REAL
mp-29531,Cs4 Bi12 S20,1.427899999999999,-0.6585908918402791,5.738662960947725,1.0019,3,True,REAL
mp-29403,Ga1 Cu1 I4,1.4404,-0.6676176529166651,4.669644442240902,1.0017,3,True,REAL
mp-1198419,K8 Cd12 Se16,1.4027999999999992,-1.031509651263887,4.558188684746677,1.0015,3,True,REAL
mp-1223443,K1 Bi1 S2,1.4158,-0.9206185710937511,4.756507849741324,1.0012,3,True,REAL
mp-1212726,Ga12 Te12 Cl4,1.3323,-0.6166950096428551,4.809483508227039,1.0011,3,True,REAL
mp-4043,Nb1 Cu3 Se4,1.3604,-0.596006779531249,5.473847418333714,1.0011,3,True,REAL
mp-652494,Cs8 Re12 S26,1.395899999999999,-1.048543179613942,5.792260818183647,1.0011,3,True,REAL
